artist_id,artist_name,followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,51818154,"['dance pop', 'pop']",88
4IWBUUAFIplrNtaOHcJPRM,James Arthur,13911191,"['pop', 'talent show', 'uk pop']",81
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,20561151,['pop'],79
04gDigrS5kc9YWfZHwBETP,Maroon 5,41850208,['pop'],84
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,8937852,['pop'],69
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,11933562,"['canadian contemporary r&b', 'canadian pop', 'pop']",73
540vIaP2JwjQb9dm3aArA4,DJ Snake,8793514,"['edm', 'electronic trap', 'pop', 'pop dance']",76
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,73140056,"['canadian contemporary r&b', 'canadian pop', 'pop']",94
46GXASE9LHzyssNqKOInUu,Dawin,229482,['nyc pop'],49
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6389948,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",74
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3863024,"['pop', 'pop dance', 'tropical house', 'uk dance']",74
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,5161770,"['ohio hip hop', 'pop rap']",76
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,22860487,"['pop', 'uk pop']",75
7gAppWoH7pcYmphCVTXkzs,The Vamps,5852682,"['boy band', 'pop']",66
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,15923598,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",75
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,94680753,['pop'],87
02A3cEvlLLCbIMVDrK2GHV,Starley,208990,['aussietronica'],53
2oX42qP5ineK3hrhBECLmj,Andy Grammer,1182713,"['neo mellow', 'post-teen pop', 'viral pop']",68
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,42773536,"['canadian pop', 'pop', 'viral pop']",82
6MDME20pz9RveH9rEXvrOM,Clean Bandit,5329315,"['pop', 'uk dance', 'uk funky']",73
0jKQrxK2zHqxyOAyIMrUQt,SUD,652529,['opm'],51
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,21594424,"['pop', 'viral pop']",81
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3806463,"['dutch house', 'edm', 'electro house', 'pop dance']",71
3e7awlrlDSwF3iM0WBjGMp,Little Mix,11754883,"['girl group', 'pop', 'talent show', 'uk pop']",73
3iri9nBFs9e4wN7PLIetAw,gnash,1600888,['pop'],61
31TPClRtHm23RisEBtV3X7,Justin Timberlake,13416743,"['dance pop', 'pop']",80
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,7382611,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",71
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,7958771,"['australian pop', 'pop', 'viral pop']",78
3TVXtAsR1Inumwj472S9r4,Drake,81256295,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",98
6Dd3NScHWwnW6obMFbl1BH,Daya,1524602,"['alt z', 'pop']",67
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,63913,['viral trap'],40
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,3437545,['opm'],63
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,323864,"['downtempo', 'electropop', 'shiver pop']",52
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,417693,['indie pop rap'],58
6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1550099,"['pop dance', 'swedish tropical house']",64
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1385828,['indie pop rap'],65
3wbCeEPAW6po7J46netxMT,Up Dharma Down,1044582,['opm'],60
